"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CD8+ T cells","CD14+ Monocytes","ANXA1","FPR1",0.0644451110161342,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD14+ Monocytes","CD14+ Monocytes","ANXA1","FPR1",0.154231778164662,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"NK cells","CD14+ Monocytes","ANXA1","FPR1",0.0639992438650617,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"NKT cells","CD14+ Monocytes","ANXA1","FPR1",0.058964252900646,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"Unknown","CD14+ Monocytes","ANXA1","FPR1",0.053772319226949,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD14+ Monocytes","CD14+ Monocytes","THBS1","CD36",0.0196103652731991,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","Megakaryocyte progenitors","THBS1","CD36",0.0239937609059431,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","B","THBS1","CD47",0.0221460181761644,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","CD8+ T cells","THBS1","CD47",0.00620180390828652,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","CD14+ Monocytes","THBS1","CD47",0.0135537469317921,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","Megakaryocyte progenitors","THBS1","CD47",0.023658670284385,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","NK cells","THBS1","CD47",0.021875804477696,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","T","THBS1","CD47",0.0241661215922461,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"CD14+ Monocytes","Unknown","THBS1","CD47",0.0185097643877373,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Megakaryocyte progenitors","B","APP","CD74",0.0295228797019402,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Megakaryocyte progenitors","CD4+ T cells","APP","CD74",0.00670011039144464,0.02,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Megakaryocyte progenitors","CD14+ Monocytes","APP","CD74",0.0254158206133965,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
