"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"CD4+ T cells","CD16+ Monocytes","ANXA1","FPR1",0.049126231863673,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD8+ T cells","CD16+ Monocytes","ANXA1","FPR1",0.137576372009152,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD14+ Monocytes","CD16+ Monocytes","ANXA1","FPR1",0.0516101644754817,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"CD16+ Monocytes","CD16+ Monocytes","ANXA1","FPR1",0.125665762245993,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"NK cells","CD16+ Monocytes","ANXA1","FPR1",0.137245748753455,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"Platelets","B","APP","CD74",0.226875426666152,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","CD4+ T cells","APP","CD74",0.0621760209445062,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","CD8+ T cells","APP","CD74",0.166108368728937,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","CD14+ Monocytes","APP","CD74",0.172296837524924,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","CD16+ Monocytes","APP","CD74",0.213568833046416,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","NK cells","APP","CD74",0.165036929311613,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","Plasma B","APP","CD74",0.168620349769093,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","Platelets","ESAM","ESAM",0.0560176814538802,0,"ESAM_ESAM","ESAM - ESAM","ESAM","Cell-Cell Contact","KEGG: hsa04514; PMID: 11279107"
"CD16+ Monocytes","CD8+ T cells","ICAM2","ITGAL_ITGB2",0.0843404914474533,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD16+ Monocytes","ICAM2","ITGAL_ITGB2",0.0906684644781185,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","NK cells","ICAM2","ITGAL_ITGB2",0.0967965953427545,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"B","Platelets","ITGB2","CD226",0.054536606126398,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","Platelets","ITGB2","CD226",0.061739958724986,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","Platelets","ITGB2","CD226",0.163709856673435,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","Platelets","ITGB2","CD226",0.063926226546197,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","Platelets","ITGB2","CD226",0.200050605154641,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","Platelets","ITGB2","CD226",0.20686524209736,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"B","CD16+ Monocytes","ITGB2","ICAM2",0.0458702842603845,0.02,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD16+ Monocytes","ITGB2","ICAM2",0.0519919106367149,0.02,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD16+ Monocytes","ITGB2","ICAM2",0.140268821301366,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD16+ Monocytes","ITGB2","ICAM2",0.0538528037750995,0.02,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD16+ Monocytes","CD16+ Monocytes","ITGB2","ICAM2",0.17247925431342,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","CD16+ Monocytes","ITGB2","ICAM2",0.178564334318196,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","LCK","CD8 receptor",0.057634400680055,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"CD8+ T cells","CD8+ T cells","LCK","CD8 receptor",0.148932193801963,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"NK cells","CD8+ T cells","LCK","CD8 receptor",0.146588357823944,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"CD4+ T cells","NK cells","LCK","CD8 receptor",0.0574695835164331,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"CD8+ T cells","NK cells","LCK","CD8 receptor",0.148547447620011,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"NK cells","NK cells","LCK","CD8 receptor",0.146208626413457,0,"LCK_CD8A_CD8B1","LCK - (CD8A+CD8B1)","LCK","Cell-Cell Contact","PMID: 25427562"
"B","CD8+ T cells","HLA-A","CD8A",0.206449708135249,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD4+ T cells","CD8+ T cells","HLA-A","CD8A",0.209683036113579,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD8+ T cells","CD8+ T cells","HLA-A","CD8A",0.208293076232788,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"CD14+ Monocytes","CD8+ T cells","HLA-A","CD8A",0.162059560980588,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
