mAebp2	Asmt	Palb2	Dctn5	Vamp4	Rpl22	Exoc2	Snrpb2	Pomt1	Vps13d	Tmbim4	Cox19	Psmd3	Mettl25	Ccdc59	Sugp2	Armc6	Gne	Snx18	Ptcd1	Cpsf4	Psma1	Pdcd5	Txnl4a	Gins3	Ubr4	Rbm48	Pex1	Tex2	Ambra1	Tmem167b	Snrpa1	Mlst8	Brd3os	Taok3	Ercc2	Ino80	Taf3	Rbsn	Dctn6	Rab35	Pet117	Kat14	Heatr5a	Xpo5	Polh	Kdm8	Sprtn	Exoc8	Nup50	Cstf1
mAnp32e	Asmt	Ccni	2010109A12Rik	Wdr78	Mier1	Hjurp	A730008H23Rik	Polr2b	Noa1	Cltc	Kdm8	Bzw1	Dyrk1b	Trim41	Zfp119a	Atf7	Nr1d2	Abhd16a	Zfp119b	Narf	Tbc1d2	Slc39a13	Zfp963	Mettl25	Ccdc59	Upf2	Tpt1	Etf1	Cox20	Zfp866	Zbtb21	Txnl4a	Unk	Srp54c	Srp54b	Trmo	Rab14	Kdm3a	Cdk5rap2	Klf7	Get1	Pou2f1	Ttc32	Dctn4	Calm3	Fus	H3f3b	Wars2	Zfand3	Sart3
mArid1a	Oasl1	Pipox	Asmt	Kdm3a	1700008O03Rik	Dhx32	Anxa11	Myo10	Abcg2	1700019D03Rik	Lrrtm3	Chd9	Sacs	Slc39a14	Gm14393	Vegfc	Mal2	Ebi3	Slc25a1	Slc27a2	Dis3l	Gid8	Dido1	Lysmd3	Snx10	Mobp	Fam169a	Msh6	Zyg11a	Fbxo15	Stmn1	Cep112	Vmn1r77	Sfi1	Dennd2c	Trp53bp1	Atg10	Cnpy1	Rif1	Gcnt2	Itgb1	Il33	Mtf2	Rps23rg1	Ccdc194	Tmem220	Sptan1	Lrpap1	Asb8	Evl
mBaz1a	Oasl1	Sspn	Asmt	Dux	Sfi1	4931408C20Rik	Rps29	Scn8a
mBrd2	Lrp6	Anp32e	Sf3b3	Cog4	Tatdn3	Nsl1	Chek1	Cdc5l	Gsta4	Mcu	Rpl18a	Krr1	Snrpb	Ndufc2	Copg1	Rpl26	Dot1l	Cpsf2	0610010K14Rik	Gtf3c5	Ube3b	Kctd10	Rpl7l1	Zfp869	Nfyc	Tardbp	Ywhae	Mtg1	Pcif1	Pole4	Gosr1	Naca	Zfp868	Zwilch	Rpl4	Rsrc2	Kntc1	Yeats4	Cdk5rap1	Ulk1	2610001J05Rik	Wdr34	Katna1	Ddx39b	Rps3a1	Prdm9	Kat6a	Ppp1r8	Ints14	Dhx9
mBrd3	Asmt	Oasl1	Psmb2	Rps29	Sspn	Nup153	Haus5	Nup133	Gpam	Sphk2	Rpl18	Ndufa10	Fancd2	Emc3	Gtf2h3	Eif2b1	Rnf187	Wdr45b	Lonp1	Catsperd	Sde2	Arid4a	Rrp1	Esyt2	Tubgcp6	Fmc1	Mapkapk5	Rlf	Ppp4r3a	Ube4a	Rpl9	Lias	Noc4l	Ddx51	Wdr61	Gm3448	Gm3417	9030025P20Rik	Mecr	Elp1	Abitram	Twistnb	Med27	Zfpl1	Cdca5	Trmt5	Slc38a6	Mrm3	Glod4	Wdr74
mChd1	Sspn	Rita1	Ddx54	Tcp11l2	Cenpe	Tst	Mpst	Aldh4a1	Oga	Prkdc	Mcm4	Atg101	Ptcd2	Mrps27	Them6	Uqcrh	Lrrc41	Cmc2	Cenpn	Dpp9	Nr6a1	Cd3eap	Hyal2	Flcn	Lsg1	Gipc1	Asah1	Tada3	Sod2	Arpc4	Phrf1	Mrps11	Mrpl46	Cnot6	Taf15	Dgat2	Cdipt	Uchl3	Pik3r3	Tigd5	Eef1d	Por	Tardbp	Prkci	Calm3	Iqch	Aagab	Rnasek	Pfdn4	Srpk2
mChd2	Scamp5	Gmppa	Tpp1	Ttc14	Naa35	Mfsd8	Slc35b4	Abhd18	Wdr27	1600012H06Rik	Tspyl1	Tab3	Ssbp1	Ikzf5	Acadsb	Xpc	Lsm3	Spc25	Ubr3	Dbr1	Ift74	Ddx20	Josd2	Nkrf	Copb2	Exo5	Lamp1	Rnpc3	Hsbp1	Psmb2	Fadd	Ireb2	Creld2	Alg12	4833439L19Rik	Polr2e	Coq9	Ciapin1	Rps7	Micu2	Fam76a	Mysm1	Akap11	Nudt1	Gpbp1	H2-Q4	Rcc1l	Abi1	B230219D22Rik	Atf2
mChd4	Mis18bp1	Exd1	Chp1	Asmt	Zdhhc6	Vti1a	Ctnnb1	Zfat	Zfp560	Esco1	Mterf1b	Mterf1a	Gpcpd1	Hjurp	A730008H23Rik	Sfi1	Oscar	Ndufa3	Sspn	Srf	Bspry	Dpy19l4	Clpb	Rfwd3	Igfbp4	Zpr1	Man2b2	Pnpla6	Rnf216	Mkrn2	Kmt2a	Rad54l2	Tpgs2	AW554918	Piezo1	Clcn4	Gm3448	Gm3417	Med23	Kdm3b	Tcte3	Mapk6	Wdr36	Gtf3c3	Fra10ac1	Dcaf10	Pfas	Polr2e	Gm3435	Agk
mChd7	Dnajc11	Polr2j	Ncbp3	Wdr70	Zcchc4	Atg101	Nomo1	Polq	Ddx18	Snrpd1	Aars2	Mettl18	BC055324	Cdkn2aipnl	Ttc5	Arl8b	Mrps2	Rpl5	Tchp	Smim12	Drg2	Smarcd1	C1qbp	Arhgef1	Nle1	Uchl5	Ro60	Cipc	Ddx46	Zfp768	Adprhl2	Pcbp2	Dhx8	Api5	Cox7a2	Ndufb7	Dennd6b	Ift46	Mrpl12	Nus1	Nek4	Mtmr6	Srp68	Mrps31	Ercc1	Sphk2	Rpl18	Traf6	Zkscan1	Tomm22
mChd8	Kmt5b	Rapgef1	N4bp2l2	Adprhl2	Ube2j2	Med4	Septin7	Ccdc124	Mtmr10	Zc3hc1	Zc3h11a	Zbed6	Asmt	Nipsnap2	Sspn	Zfp952	Acp2	Wdr77	Atp5pb	Chtop	Zc3h6	Ndufs7	Srek1	Rpl35a	Iqcg	Timm9	2700049A03Rik	Cradd	Wdr34	Mnat1	Atp5g2	Gigyf2	Uba5	Acad11	Kdm3b	Cltc	Cox8a	Ufc1	Cpeb4	Wrap53	Trp53	Tmem101	Unk	Gnb2	Golga3	Rer1	Morn1	Arf2	Gtf3c5	Tbc1d17
mCreb1	Psmb2	Nup133	Nup153	Man1b1	Tubgcp6	Rlf	Rrp1	Zfpl1	Cdca5	Ubr4	Nup214	Nelfa	Magohb	Fbxw7	Fancd2	Emc3	Rpl9	Lias	Esyt2	Rrm1	Tinf2	Gtf2h3	Eif2b1	Aasdh	Slc35e1	Anapc10	Abce1	Xab2	Pet100	Ube4a	Bdp1	Zfand2a	Gm3448	Gm3417	Med20	Bysl	Cops8	Tcte3	Eprs	Smndc1	Mrpl2	Klc4	Haus5	Ddx49	Cope	Cbwd1	Ndufa10	Gm3435	Sphk2	Rpl18
mDaxx	Lamp1	Amdhd2	Mfsd1	Washc2	Atp6v0b	Dvl2	Dpp7	Bax	Ilf3	Clcn7	Zfp292	Retreg2	Cnppd1	Zmym6	Osgep	Apex1	Hexa	Cdk4	Mcoln1	Gba	Igf2r	Zbtb40	Vps11	Mthfr	Clcn6	Sumf1	Rad9a	Ube2b	Rpusd4	Fam118b	Commd9	Lztfl1	Kdm4c	Sgo1	Neurl2	Ctsa	Hps1	Slc36a1	Srsf2	Mfsd11	Vps33a	Hoxc13	Ap5z1	Atxn3	Tomt	Lamtor1	Hnrnph2	Gla	Atp6v0d1	Nup188
